,pmatrix
0,"\begin{pmatrix}\theta_1 + \frac{n_1}{m_1}&0 &0&0\\
                0&0&\theta_2 + \frac{n_2}{m_2}&0\\
                0&1&0&0\\
                0&0&0&1\"
1,"\begin{pmatrix} -1&0&0&0\\
                0&0&-1&0\\
                0& \frac{n_1}{m_1}&0&0\\
                0&0&0& \frac{n_2}{m_2}\"
2,"\begin{pmatrix} m& \cdots \\
                \hat s & \cdots \"
3,"\begin{pmatrix} n& \cdots \\
                \hat t & \cdots \"
4,"\begin{pmatrix} 0&0&1&0\\
                0&0&0&1\\
                -1&0&0&0\\
                0&-1&0&0\"
5,"\begin{pmatrix}\ 0 &  \frac{1}{m_1} &0&0\\
                0&0&0& \frac{1}{m_2}\\
                \frac{1}{m_1 \theta_1 + n_1}&0&0&0\\
                0&0&  \frac{1}{m_2 \theta_2 + n_2}&0\"
6,"\begin{pmatrix} 0&-a_1&0&0\\
                0&0&0&-a_2\\
                \frac{1}{m_1}&0&0&0\\
                0&0&  \frac{1}{m_2}&0 \"
7,"\begin{pmatrix} \frac{1}{\theta_1 + \frac{n_1}{m_1}}&0&0&0\\
                0&0&1&0\\
               0&  \frac{1}{\theta_2 + \frac{n_2}{m_2}}&0&0\\
                0&0& 0&1 \"
8,"\begin{pmatrix} \tau_{11} & 1 & \tau_{12} & 0 \\
          \tau_{21} & 0 & \tau_{22} & 1 \"
9,"\begin{pmatrix} \lambda_{12} & \lambda_{14} \\
            \lambda_{22} & \lambda_{24} \"
10,"\begin{pmatrix}
           \lambda_{11}& \lambda_{12} &
             \lambda_{13} & \lambda_{14} \\
           \lambda_{21} & \lambda_{22} &
           \lambda_{23} & \lambda_{24}
            \"
11,"\begin{pmatrix} \tau_{11} & \tau_{12}  \\
          \tau_{21}  & \tau_{22}  \"
12,\begin{pmatrix} c_1 \\ c_2 \
13,\begin{pmatrix} s_1 \\ s_2 \
14,"\begin{pmatrix} \frac{2 \pi i \tau_{11} }{\theta_1 + \frac{n_1}{m_1}} &
\frac{2 \pi i \tau_{12} }{\theta_2 + \frac{n_2}{m_2}} \\
\frac{2 \pi i \tau_{21} }{\theta_1 + \frac{n_1}{m_1}} & \frac{2\pi
i \tau_{22} }{\theta_2 + \frac{n_2}{m_2}}
\"
15,\begin{pmatrix} c_1 \\ c_2 \
16,\begin{pmatrix} c'_1 \\ c'_2 \
17,"\begin{pmatrix} s_1 \\
s_2 \"
18,"\begin{pmatrix} t_1 \\
t_2 \"
19,"\begin{pmatrix} \frac{2 \pi i \tau_{11} }{\theta_1 + \frac{n_1}{m_1}} &
\frac{2 \pi i \tau_{12} }{\theta_2 + \frac{n_2}{m_2}} \\
\frac{2 \pi i \tau_{21} }{\theta_1 + \frac{n_1}{m_1}} & \frac{2\pi
i \tau_{22} }{\theta_2 + \frac{n_2}{m_2}}
\"
20,"\begin{pmatrix} \frac{2 \pi i \tau'_{11} }{-\theta_1 + \frac{k_1}{l_1}} &
\frac{2 \pi i \tau'_{12} }{-\theta_2 + \frac{k_2}{l_2}} \\
\frac{2 \pi i \tau'_{21} }{-\theta_1 + \frac{k_1}{l_1}} &
\frac{2\pi i \tau'_{22} }{-\theta_2 + \frac{k_2}{l_2}}
\"
21,"\begin{pmatrix} (n_1 +m_1 \theta_1)r_1 +
\frac{n_1 +m_1 \theta_1}{m_1}q_1 - \frac{l_1(n_1 +m_1
\theta_1)}{m_1(n_1l_1
+m_1k_1)}j_1 \\
 (n_2 +m_2 \theta_2)r_2 + \frac{n_2 +m_2 \theta_2}{m_2}q_2 -
\frac{l_2(n_2 +m_2 \theta_2)}{m_2(n_2l_2 +m_2k_2)}j_2
\"
22,"\begin{pmatrix} (n_1 +m_1 \theta_1)r_1 -
\frac{k_1 - l_1 \theta_1}{l_1}q_1 + \frac{k_1 -l_1
\theta_1}{n_1l_1
+m_1k_1}j_1 \\
 (n_2 +m_2 \theta_2)r_2 - \frac{k_2 -l_2 \theta_2}{l_2}q_2 +
\frac{k_2 -l_2 \theta_2}{n_2l_2 +m_2k_2}j_2
\"
23,"\begin{pmatrix} (n_1 +m_1 \theta_1)r_1 + \frac{n_1
+m_1 \theta_1}{m_1}p_1 - \frac{l_1(n_1 +m_1 \theta_1)}{m_1(n_1l_1
+m_1k_1)}j_1 \\
 (n_2 +m_2 \theta_2)r_2 + \frac{n_2 +m_2 \theta_2}{m_2}p_2 -
\frac{l_2(n_2 +m_2 \theta_2)}{m_2(n_2l_2 +m_2k_2)}j_2
\"
24,"\begin{pmatrix} (n_1 +m_1 \theta_1)r_1 - \frac{k_1 - l_1
\theta_1}{l_1}p_1 + \frac{k_1 -l_1 \theta_1}{n_1l_1
+m_1k_1}j_1 \\
 (n_2 +m_2 \theta_2)r_2 - \frac{k_2 -l_2 \theta_2}{l_2}p_2 +
\frac{k_2 -l_2 \theta_2}{n_2l_2 +m_2k_2}j_2
\"
25,"\begin{pmatrix} \frac{(n_1 +m_1 \theta_1)l_1}{v_1}u_1 \\
            \frac{(n_2 +m_2 \theta_2)l_2}{v_2}u_2  \"
26,"\begin{pmatrix} -\frac{(k_1-l_1\theta_1)m_1}{v_1}u_1 \\
  -\frac{(k_2-l_2\theta_2)m_2}{v_2}u_2
 \"
27,\begin{pmatrix} u_1 \\ u_2 \
28,"\begin{pmatrix} {\cal B}_1 {\cal O}_{11} {\cal B}_1 + {\cal B'}_1 {\cal O'}_{11} {\cal B'}_1
 & {\cal B}_1 {\cal O}_{12} {\cal B}_2 + {\cal B'}_1 {\cal O'}_{12} {\cal B'}_2 \\
 {\cal B}_2 {\cal O}_{21} {\cal B}_1 + {\cal B'}_2 {\cal O'}_{21} {\cal B'}_1
  & {\cal B}_2 {\cal O}_{22} {\cal B}_2 + {\cal B'}_2 {\cal O'}_{22} {\cal B'}_2
\"
29,"\begin{pmatrix} {\cal B}_1 {\cal O}_{11} {\cal A}_1
     + {\cal B}_1 {\cal O}_{12} {\cal A}_2
     + {\cal B'}_1 {\cal O'}_{11} {{\cal A}'}_1
      + {\cal B'}_1 {\cal O'}_{12} {{\cal A}'}_2
  \\
   {\cal B}_2 {\cal O}_{21} {\cal A}_1
     + {\cal B}_2 {\cal O}_{22} {\cal A}_2
     + {\cal B'}_2 {\cal O'}_{21} {{\cal A}'}_1
      + {\cal B'}_2 {\cal O'}_{22} {{\cal A}'}_2
  \"
30,"\begin{pmatrix}
    c_1 {\cal B}_1 + {c'}_1 {\cal B'}_1 \\
    c_2 {\cal B}_2 + {c'}_2 {\cal B'}_2
  \"
31,"\begin{pmatrix}
    {\cal B}_1  \\   {\cal B}_2   \"
32,"\begin{pmatrix} \frac{(n_1 +m_1 \theta_1)l_1}{v_1} \\
            \frac{(n_2 +m_2 \theta_2)l_2}{v_2}  \"
33,"\begin{pmatrix}
    {\cal B'}_1 \\   {\cal B'}_2    \"
34,"\begin{pmatrix} -\frac{(k_1-l_1\theta_1)m_1}{v_1} \\
  -\frac{(k_2-l_2\theta_2)m_2}{v_2}
 \"
35,\begin{pmatrix} r_1 \\ r_2 \
36,"\begin{pmatrix} \frac{\tau_{11}(n_1 +m_1 \theta_1)(n_1l_1
+m_1k_1)}{(k_1 -l_1 \theta_1)} & \frac{\tau_{12}(n_1 +m_1
\theta_1)(n_2l_2 +m_2k_2)}{(k_2 -l_2 \theta_2)}
  \\
  \frac{\tau_{21}(n_2 +m_2 \theta_2)(n_1l_1
+m_1k_1)}{(k_1 -l_1 \theta_1)} &
 \frac{\tau_{22}(n_2 +m_2
\theta_2)(n_2l_2 +m_2k_2)}{(k_2 -l_2 \theta_2)}
\"
37,"\begin{pmatrix} (n_1 +m_1 \theta_1)r_1   \\
 (n_2 +m_2 \theta_2)r_2
\"
38,"\begin{pmatrix} \tau_{11} p_1 + \tau_{12} p_2
   - \frac{\tau_{11}  l_1 j_1} {n_1l_1 +m_1k_1}
    - \frac{\tau_{12}  l_2 j_2} {n_2l_2 +m_2k_2} \\
\tau_{21} p_1 + \tau_{22} p_2
   - \frac{\tau_{21}  l_1 j_1} {n_1l_1 +m_1k_1}
    - \frac{\tau_{22}  l_2 j_2} {n_2l_2 +m_2k_2}
\"
39,"\begin{pmatrix} \frac{n_1l_1 +m_1k_1}{l_1m_1} p_1
     -\frac{j_1}{m_1} \\
    \frac{n_2l_2 +m_2k_2}{l_2m_2} p_2
     -\frac{j_2}{m_2}
\"
40,"\begin{pmatrix}  \frac{n_1
+m_1 \theta_1}{m_1}p_1 - \frac{l_1(n_1 +m_1 \theta_1)}{m_1(n_1l_1
+m_1k_1)}j_1 \\
  \frac{n_2 +m_2 \theta_2}{m_2}p_2 -
\frac{l_2(n_2 +m_2 \theta_2)}{m_2(n_2l_2 +m_2k_2)}j_2
\"
41,"\begin{pmatrix} - \frac{k_1 -
l_1 \theta_1}{l_1}q_1 + \frac{k_1 -l_1 \theta_1}{n_1l_1
+m_1k_1}j_1 \\
 - \frac{k_2 -l_2 \theta_2}{l_2}q_2 +
\frac{k_2 -l_2 \theta_2}{n_2l_2 +m_2k_2}j_2
\"
42,\begin{pmatrix} u_1 \\ u_2 \
43,"\begin{pmatrix} \frac{\tau_{11}  (n_1l_1
+m_1k_1)l_1 m_1}{v_1^2} & \frac{\tau_{12}  (n_1l_1 +m_1k_1)l_2
m_2}{v_1 v_2} \\
\frac{\tau_{21}  (n_2l_2 +m_2k_2)l_1 m_1}{v_1 v_2} &
\frac{\tau_{22} (n_2l_2 +m_2k_2)l_2 m_2}{v_2^2}
\"
