,pmatrix
0,\begin{pmatrix}(1+ee^T)^\frac 1 2&e\\e^T& (1+e^Te)^{\frac 12}\
1,"\begin{pmatrix} 0&P^m_b&U^m&0\\
(P^t)^a_n&0&0&V^a\\
({U^t})_n&0&0&d\phi\\
0&{V^t}_b&d\phi&0\"
2,"\begin{pmatrix}
X^\Lambda(z)\\F_\Lambda(z)\"
3,"\begin{pmatrix}
X^\Lambda(z)\\F_\Lambda(z)\"
4,"\begin{pmatrix}
A^\Lambda_{\Lambda'}&B^{\Lambda\Lambda'}\\C_{\Lambda\Lambda'}& D
_\Lambda^{\Lambda'}\"
5,"\begin{pmatrix}
X^{\Lambda'}(z)\\F_{\Lambda'}(z)\"
6,"\begin{pmatrix}
A&B\\C& D\"
7,"\begin{pmatrix}
a\relax{\rm 1\kern-.28em 1}&b\eta\\c\eta& d\relax{\rm 1\kern-.28em 1}\"
8,\begin{pmatrix}X^\Lambda\\F_\Lambda\
9,"\begin{pmatrix}g_0X^0+ig_1X^1&0\\
0&-g_0X^0+ig_1X^1\"
10,"\begin{pmatrix}g_0\mathcal{D}_i(X^0\mathrm{e}^{\frac K
2})+ig_1\mathcal{D}_i(X^1\mathrm{e}^{\frac K
2})&0\\
0&-g_0\mathcal{D}_i(X^0\mathrm{e}^{\frac K
2})+ig_1\mathcal{D}_i(X^1\mathrm{e}^{\frac K 2})\"
11,"\begin{pmatrix}
L^0 g_0 + i L^1 g_1 &0 \\
0 & -L^0 g_0 + i L^1 g_1 \"
12,"\begin{pmatrix}
X^0 g_0 + i X^1 g_1 &0 \\
0 & -X^0 g_0 + i X^1 g_1 \"
