,pmatrix
0,"\begin{pmatrix} 
 0 & (\sigma^m)^{\a \dot{\b}} \cr 
 (\tilde\sigma^m)_{\dot{\b} \g} & 0 
\"
1,"\begin{pmatrix} 
0  & c_{\a}^{~\dot{\b}} \cr 
  c^{\dot{\b}}_{~ \g} & 0 
%\right) 
\"
2,"\begin{pmatrix} 
 I_{16\times16} &  0 \cr 
  0 &  -I_{16\times16} 
%\right) 
\"
3,"\begin{pmatrix} 
0  & 
\begin{pmatrix} I_{\small 8 \times 8} & 0 \\
0 & -I_{\small 8 \times 8}
\end{pmatrix} \cr 
\begin{pmatrix} I_{\small 8 \times 8} & 0 \\
0 & -I_{\small 8 \times 8}
\end{pmatrix}
& 0 
%\right) 
\"
4,"\begin{pmatrix} I_{\small 8 \times 8} & 0 \\
0 & -I_{\small 8 \times 8}
\"
5,"\begin{pmatrix} I_{\small 8 \times 8} & 0 \\
0 & -I_{\small 8 \times 8}
\"
6,"\begin{pmatrix} 
(\tilde\sigma^m)_{\a {\b}} & 0\\ 
 0 & - (\sigma^m)^{\dot{\b} \dot\a} 
\"
7,"\begin{pmatrix} 
 \g^m_{\a {\b}} & 0\\ 
 0  & (\g^m)^{{\b} \a} 
\"
8,"\begin{pmatrix} 
0 & (\tilde\sigma^{m,T})_{\a {\dot\b}} \\ 
  (\sigma^{m,T})^{\dot{\a} \b} & 0 
\"
9,"\begin{pmatrix} 
{\frac 1 2 } \s^{m, \a\dot\b} \tilde\s^n_{\dot\b\g} 
- {m \leftrightarrow n} 
& 0 
\\ 
0 & {\frac 1 2 } \tilde\s^{m}_{\dot\a \b} \s^{n,\b\dot\g} - 
{m \leftrightarrow n} 
\"
10,"\begin{pmatrix} 
\e_{\a {\b}} & 0\cr 
 0 & \e^{\dot{\a} \dot\b} 
% \right) 
\"
