,pmatrix
0,"\begin{pmatrix}
u^1\\
u^2
\"
1,\begin{pmatrix}1\\0\
2,\begin{pmatrix} v^1 & -\bar v^2\\ v^2 & \bar v^1\
3,"\begin{pmatrix}
\zeta^{\tilde 4} \\
-\zeta^{\tilde 2}
\"
4,"\begin{pmatrix}
\cos(\d-\frac{\pi}{2}) & -\sin(\d-\frac{\pi}{2}) \\
\sin(\d-\frac{\pi}{2}) & \cos(\d-\frac{\pi}{2}) 
\"
5,"\begin{pmatrix}
\z_{\tilde 5}\\
\z_{\tilde 3}
\"
6,"\begin{pmatrix}
\tilde\z_{\tilde 5}\\
\tilde\z_{\tilde 3}
\"
7,"\begin{pmatrix}
\z_{\tilde 4}\\
\z_{\tilde 2}
\"
8,"\begin{pmatrix}
\tilde\z_{\tilde 4}\\
\tilde\z_{\tilde 2}
\"
9,"\begin{pmatrix}
\hat\r\\
\hat\f
\"
10,"\begin{pmatrix}
\r\\
\tilde\f
\"
11,"\begin{pmatrix}
1 & 0 & 0 \\
0 & 1 & 0 \\
0 & 0 & 4 \\
\"
