,pmatrix
0,"\begin{pmatrix}
{\phi_1&\overline{\phi}_2\cr
\phi_2&\overline{\phi}_1\cr}
\"
1,"\begin{pmatrix}{L^1\cr L^2\cr}
\"
2,"\begin{pmatrix}{\phi_1+\phi_2\cr-i(\phi_1-\phi_2)\cr}
\"
3,"\begin{pmatrix}
{1&1\cr-i&i\cr}
\"
4,"\begin{pmatrix}
{ L^1+\oL^1&i(L^1-\oL^1)\cr L^2+\oL^2&i(L^2-\oL^2)\cr}
\"
5,"\begin{pmatrix}
{\a&\b\cr \g&\d\cr}
\"
6,"\begin{pmatrix}{L^1&\oL^1\cr L^2&\oL^2\cr}
\"
7,"\begin{pmatrix}{q&\overline{p}\cr
p&-q\cr}\"
8,"\begin{pmatrix}{{\bf0}_{6\times 6}&{\bf{1}}_{6\times 6}\cr {\bf{1}}_{6\times 6}&{\bf{0}}_{6\times 6}\cr}
\"
9,"\begin{pmatrix}
{EdE^{-1}&-EdBE\cr
0&E^{-1}dE\cr}
\"
10,"\begin{pmatrix}{T_1&0\cr
0&T_2\cr}
\"
11,"\begin{pmatrix}{T_{(v)}&T_{(a)}\cr
T_{(a)}&T_{(v)}\cr}
\"
12,"\begin{pmatrix}
{1&1\cr 1&-1\cr}
\"
13,"\begin{pmatrix}{EdE^{-1}-dE^{-1}\,E&0\cr
0&EdE^{-1}-dE^{-1}\,E\cr}
\"
14,"\begin{pmatrix}
{0&-EdBE\cr
-EdBE&0\cr}
\"
15,"\begin{pmatrix}{\o^{IJ}&-P^{[IJ]}\cr
-P^{[IJ]}&\o^{IJ}\cr}\"
16,"\begin{pmatrix}{P^{(IJ)}&-P^{[IJ]}\cr
P^{[IJ]}&-P^{(IJ)}\cr}\"
17,"\begin{pmatrix}{\o_1^{IJ}&-(P^{IJ})^T\cr
-P^{IJ}&\o_2^{IJ}\cr}\"
18,"\begin{pmatrix}{\o^{IJ}-P^{[IJ]}&P^{(IJ)}+P^{[IJ]} \cr
P^{(IJ)}-P^{[IJ]}&\o^{IJ}+P^{[IJ]}\cr}\"
19,"\begin{pmatrix}{R_1&0\cr 0&R_2\cr}
\"
20,"\begin{pmatrix}
{\matrix{0_{6\times 6} & \bfone_{6\times 6} &0_{6\times n}\cr
\bfone_{6\times 6} &0_{6\times 6}&0_{6\times n}\cr 0_{n\times
6}&0_{n\times 6}&-\bfone_{n\times n}}}\"
21,"\begin{pmatrix}{E\,dE^{-1}&-E[dB-\frac{1}{2}(da\,a^T-a\,da^T)]E&E\,da\cr{\bf
0}_{6\times 6} &E^{-1}dE&{\bf 0}_{6\times n}\cr{\bf 0}_{n\times
6}&da^T\,E& \bfone_{n\times n}}\"
22,"\begin{pmatrix}{\o^{IJ}&-P^{[IJ]}&P^{Ii}\cr
-P^{[IJ]}&\o^{IJ}&-P^{Ii}\cr
-P^{iI}&P^{iI}&0}\"
23,"\begin{pmatrix}{P^{(IJ)}&-P^{[IJ]}&P^{Ii}\cr
P^{[IJ]}&-P^{(IJ)}&P^{Ii}\cr
P^{iI}&P^{iI}&0}\"
24,"\begin{pmatrix}
{1&1&0\cr 1&-1&0\cr 0&0&1\cr}
\"
25,"\begin{pmatrix}{E&0&0&0&0&0\cr 0&E&0&0&0&0\cr
0&a^TE&\bfone&0&0&0\cr 0&CE&-a&E^{-1}&0&0\cr
-CE&0&0&0&E^{-1}&-a\cr
-a^TE&0&0&0&0&\bfone}\"
26,"\begin{pmatrix}{A&B\cr
C&D\cr}\"
27,"\begin{pmatrix}{\d E&-\g E&0\cr -\b E&\a E&0\cr -\b a^TE&\a
a^TE&\a-i\b\cr}\"
28,"\begin{pmatrix}{-\b CE-i\a E^{-1}&\a CE-i\b
E^{-1}&-(\a-i\b)a\cr -\d CE-i\g E^{-1}&\g CE-i\d
E^{-1}&-(\g-i\d)a\cr -\d a^TE& \g
a^TE&\g-i\d\cr}\"
29,"\begin{pmatrix}{-2iL^1\oL^1E^{-1}E^{-1}&\frac{1}{2}aa^T\!\!-\!2iL^{(1}\oL^{2)}\!E^{-1}\!E^{-1}\!\!-\!2iB
L^{[1}\oL^{2]}&-a\cr\frac{1}{2}aa^T\!\!-\!2iL^{(2}\oL^{1)}\!E^{-1}\!E^{-1}\!\!-\!2iB
L^{[2}\oL^{1]}&-2iL^2\oL^2E^{-1}E^{-1}+\frac{L^2}{L^1}aa^T&-\frac{L^2}{L^1}a\cr
-a^T&-\frac{L^2}{L^1}a^T&\frac{L^2}{L^1}}\"
30,\begin{pmatrix}{v_A^{(+\frac{1}{2})}\cr v^{A(-\frac{1}{2})}}\
31,"\begin{pmatrix}{{\bf 0}_{4\times 4}
& \bfone_{4\times 4}\cr -\bfone_{4\times 4}&{\bf 0}_{4\times 4} }\"
32,"\begin{pmatrix}{e^{\varphi_1}&0&0&0&0&0\cr
0&e^{\varphi_2}&0&0&0&0\cr0&0&e^{\varphi_3}&0&0&0\cr0&0&0&e^{\varphi_1}&0&0\cr0&0&0&0&e^{\varphi_2}&0\cr
0&0&0&0&0&e^{\varphi_3}\cr}\"
33,\begin{pmatrix}{m_1^2&0&0&0\cr0&m_2^2&0&0\cr0&0&m_3^2&0\cr0&0&0&m_4^2\cr}\
