,pmatrix
0,\begin{pmatrix} \ddot{x} \\ \ddot{y} \\ \ddot{z} \
1,\begin{pmatrix} -\dot{y} \\ \dot{x} \\ 0 \
2,\begin{pmatrix} x \\ y \\ -2z \
3,\begin{pmatrix} 0 \\ 0 \\ 0 \
4,\begin{pmatrix}x_L & x_R \
5,\begin{pmatrix}x_L \\ x_R \
6,"\begin{pmatrix} 1-\pi p^+ h_0  & -1 \\ -1 & 1+\pi p^+ h_1
\"
7,"\begin{pmatrix} 1 - e_0 - \om^2 & 2 i b \omega & -1 & 0 \\
-  2 i b \omega &  1 - e_0 - \om^2 & 0 & -1 \\
-1 & 0 & 1 + e_1 - \om^2 & 2 i b \omega  \\
 0 & -1 & -  2 i b \omega &   1 + e_1 - \om^2
\"
8,"\begin{pmatrix}
x_L \\ y_L \\ x_R \\ y_R 
\"
9,\begin{pmatrix} X_1 \\ X_2 \
10,\begin{pmatrix} a & b \\ c& d \
11,\begin{pmatrix} X_1 \\ X_2 \
12,\begin{pmatrix} \ddot{x}_L \\ \ddot{x}_R \
13,"\begin{pmatrix}
1- \pi p^+h_0 & -1 \\
-1 & 1+ \pi p^+ h_1
\"
14,"\begin{pmatrix}
1 & \\ & 1
\"
15,\begin{pmatrix} x_L \\ x_R \
16,"\begin{pmatrix} -i\omega + \frac{e_0}{\pi} & i\omega + \frac{e_0}{\pi} \\
(-i\omega + \frac{e_1}{\pi}) \text{e}^{-2i\pi \omega} & 
i\omega + \frac{e_1}{\pi} \"
17,\begin{pmatrix} \hat{f}(\omega) \\ \hat{g}(\omega) \
18,\begin{pmatrix} 1 & \\ & -1 \
19,\begin{pmatrix}  & 1 \\ 1 &  \
20,\begin{pmatrix} X_c\\Y_c \
21,"\begin{pmatrix}
\frac{1-\frac{e}{\pi} \sigma}{\sqrt{e -1}} \\
\frac{1+\frac{e}{\pi} \sigma}{\sqrt{e +1}} 
\"
22,"\begin{pmatrix} -(1+B)i\pi\omega + e_0 & (1-B)i\pi\omega + e_0 \\
(-(1+B)i\pi\omega + e_1) \text{e}^{-2i\pi \omega} & (1-B)
i\pi\omega + e_1 \"
23,\begin{pmatrix} \hat{f}(\omega) \\ \hat{g}(\omega) \
24,\begin{pmatrix} y_0 \\ q_0 \\ b_m \
25,"\begin{pmatrix} \alpha & \beta & A_n \\
\gamma & \delta & B_n \\
\tilde A_m &  \tilde B_m & 
B_{mn} \"
26,\begin{pmatrix} x_0 \\ p_0 \\ a_n \
27,\begin{pmatrix} f \\ g \
28,\begin{pmatrix} 1 \\ 1 \
29,\begin{pmatrix} \delta f \\ \delta g \
30,"\begin{pmatrix} D & -D \\
DT^2 & -D 
\"
31,"\begin{pmatrix} \delta f \\ \delta g
\"
32,"\begin{pmatrix} e_0 \\
(Te_1) \"
33,\begin{pmatrix} 1 & -1 \\ e^{-2\pi i \omega} & -1 \
34,\begin{pmatrix} \tau-\pi & \pi - \tau \\ \tau+\pi & \pi -\tau \
35,\begin{pmatrix} 1 & -1 \\ 1 & -1 \
36,\begin{pmatrix} f \\ g \
37,\begin{pmatrix} 1 \\ 1 \
38,"\begin{pmatrix} (Te_1)-e_0 \\
e_0+(Te_1)
\"
39,\begin{pmatrix} 1 \\ 1 \
40,\begin{pmatrix} 1 \\ 1 \
41,\begin{pmatrix} 1 & \\ & -1 \
42,\begin{pmatrix} 1 & \\ & -1 \
43,\begin{pmatrix} 1 & \\ & -1 \
44,\begin{pmatrix}  & 1 \\ 1 &  \
45,\begin{pmatrix} X_c\\Y_c \
46,"\begin{pmatrix}
\frac{1-e p^+ \sigma}{\sqrt{e\pi p^+ -1}} \\
\frac{1+e p^+ \sigma}{\sqrt{e\pi p^+ +1}} 
\"
