,pmatrix
0,"\begin{pmatrix} 1 & \frac{my}{R}\\ 0& 1
\"
1,\begin{pmatrix} 1&0 \\ -m&1  \
2,\begin{pmatrix} A & 0 \\  0 & {A^{T}}^{-1} \
3,\begin{pmatrix} a&b \\  c&d \
4,"\begin{pmatrix}1 & 0 & 0 & 0 \\
                      0 & 0 & 0 & 1 \\
                      0 & 0 & 1 & 0 \\ 
                      0 & 1 & 0 & 0   \"
5,\begin{pmatrix} 1&0 \\ 0 &1 \
6,\begin{pmatrix}0&0 \\ 0 &0 \
7,\begin{pmatrix}0&m \\ -m &0\
8,\begin{pmatrix}1&0 \\ 0 &1 \
9,\begin{pmatrix} x\\t \
10,"\begin{pmatrix}
  x\\t\"
11,"\begin{pmatrix} R/\sqrt{2} \\
  -R/\sqrt{2} 
\"
12,\begin{pmatrix} x\\t \
13,"\begin{pmatrix}
  x\\t\"
14,"\begin{pmatrix}
 \sqrt{R^2/2 +R_s^2}  \\
 -R/\sqrt{2} 
\"
15,\begin{pmatrix} x\\t \
16,"\begin{pmatrix}
  x\\t\"
17,"\begin{pmatrix} R_s \\0
\"
