,pmatrix
0,"\begin{pmatrix}
\d_{\a_1}^{\b_1}\d_{\a_2}^{\b_2} & 0 \\ 0 & -\d^{\da_1}_{\db_1}\d^{\da_2}_{\db_2}
\"
1,"\begin{pmatrix}
0 & \s^i_{\a_1\db_1}\d_{\a_2}^{\b_2} \\ {\s^i}^{\da_1\b_1}\d^{\da_2}_{\db_2} & 0
\"
2,"\begin{pmatrix}
0 & \s^i_{\a_1\db_1}\d^{\da_2}_{\db_2} \\ {\s^i}^{\da_1\b_1}\d_{\a_2}^{\b_2} & 0
\"
3,"\begin{pmatrix}
-\d_{\a_1}^{\b_1}\s^{i'}_{\a_2\db_2} & 0 \\ 0 & \d^{\da_1}_{\db_1}{\s^{i'}}^{\da_2\b_2}
\"
4,"\begin{pmatrix}
-\d_{\a_1}^{\b_1}{\s^{i'}}^{\da_2\b_2} & 0 \\ 0 & \d^{\da_1}_{\db_1}\s^{i'}_{\a_2\db_2}
\"
5,"\begin{pmatrix} \bigl(\s^1\s^2\s^3\s^4\bigr)_{\a_1}^{\b_1}\d_{\a_2}^{\b_2} & 0 \\
0 & \bigl(\s^1\s^2\s^3\s^4\bigr)^{\da_1}_{\db_1}\d^{\da_2}_{\db_2}
\"
6,"\begin{pmatrix}
\d_{\a_1}^{\b_1}\d_{\a_2}^{\b_2} & 0 \\ 0 & -\d^{\da_1}_{\db_1}\d^{\da_2}_{\db_2}
\"
7,\begin{pmatrix} b_{n(r)} \\ b_{-n(r)} \
8,"\begin{pmatrix}
\cos\frac{n\s_r}{\a_r} & -\sin\frac{n\s_r}{\a_r} \\
\sin\frac{n\s_r}{\a_r} & \cos\frac{n\s_r}{\a_r}
\"
9,\begin{pmatrix} b_{n(r)} \\ b_{-n(r)} \
